palavra;proibida1;proibida2;proibida3;proibida4;proibida5
Praia;mar;areia;sol;água;biquíni
Pizza;queijo;massa;fatia;itália;forno
Futebol;bola;gol;time;campo;jogador
Celular;telefone;tela;app;ligar;bateria
Aniversário;bolo;festa;idade;parabéns;vela
Médico;hospital;doente;jaleco;remédio;saúde
Chuva;água;guarda-chuva;molhar;nuvem;céu
Cachorro;latir;pet;animal;osso;rabo
Café;xícara;manhã;quente;cafeína;grão
Casamento;noiva;vestido;igreja;aliança;amor
Escola;professor;aluno;prova;aula;estudar
Natal;presente;árvore;papai noel;dezembro;ceia
Avião;voar;viagem;aeroporto;asa;piloto
Dentista;dente;boca;cárie;escova;sorriso
Praia;mar;areia;sol;onda;verão
Banana;fruta;macaco;amarelo;casca;potássio
Selfie;foto;celular;rosto;câmera;pose
Academia;músculo;peso;treino;suor;malhar
Sorvete;gelado;casquinha;sabor;frio;sobremesa
Carro;dirigir;roda;motor;estrada;volante
Praça;banco;árvore;criança;cidade;ar livre
Pipoca;milho;cinema;sal;estourar;manteiga
Relógio;hora;ponteiro;pulso;tempo;minuto
Garçom;restaurante;mesa;pedido;conta;servir
Geladeira;frio;comida;cozinha;porta;gelo
Sabonete;banho;espuma;lavar;cheiro;pele
Professor;aula;escola;aluno;ensinar;quadro
Pescaria;peixe;anzol;rio;isca;vara
Carnaval;fantasia;bloco;samba;folia;fevereiro
Padaria;pão;manhã;assar;balcão;fermento
Espelho;reflexo;rosto;vidro;olhar;imagem
Bombeiro;fogo;incêndio;água;resgate;mangueira
Travesseiro;cama;dormir;cabeça;macio;sono
Sorveteria;sorvete;sabor;gelado;casquinha;bola
Ônibus;passageiro;ponto;transporte;motorista;passagem
Tatuagem;pele;agulha;desenho;tinta;corpo
Show;música;palco;banda;plateia;ingresso
Piscina;água;nadar;mergulho;cloro;verão
Fantasma;assombrar;medo;branco;morto;casa
Churrasco;carne;fogo;espeto;domingo;brasa
Biblioteca;livro;silêncio;ler;estante;estudar
Guarda-chuva;chuva;molhar;abrir;água;proteger
