Desenhos 📺
Bob Esponja;amarelo
Patrick;rosa
Lula Molusco;nariz
Mickey;orelhas
Pato Donald;marinheiro
Pernalonga;cenoura
Patolino;preto
Pica-Pau;risada
Tom;cinza
Jerry;pequeno
Scooby-Doo;medroso
Salsicha;magrelo
Bart Simpson;skate
Homer Simpson;careca
Rick Sanchez;cabelo azul
Morty;nervoso
Fred Flintstone;laranja
Zé Colmeia;gravata
Popeye;braços
Ben 10;relógio
Steven Universo;estrela
Coragem o Cão Covarde;rosa
Mordecai;azul
Rigby;marrom
Finn;chapéu branco
Jake;laranja
Dexter;óculos
Mojo Jojo;verde
Lindinha;loira
He-Man;loiro
Esqueleto;azul
Tartaruga Ninja Leonardo;azul
Mestre dos Magos;baixinho
Garfield;laranja
Snoopy;branco
Wally;listras
Olívia Palito;magra
Gambit;cartas
Phineas;triângulo
Ferb;verde
Perry o Ornitorrinco;chapéu
Timmy Turner;dentes
Cosmo;verde
Wanda;rosa
Mandy;séria
Billy;nariz
Johnny Bravo;topete
Vaca e Frango;fazenda
Du, Dudu e Edu;trio
Bob Belcher;bigode
Marceline;pálida
